Week;Unique_website_visitors;Holidays;January;February;March;April;May;June;July;August;September;October;November;December;Customer_trust_index;Rainfall;MAGAZINE_MARKETING;MOVIE_MARKETING;INTERNET_MARKETING;RADIO_MARKETING;NEWSPAPER_MARKETING;TELEVISION_MARKETING;BILLBOARD_AND_TRAFFIC_MARKETING;TELEVISION_CONTACTS;RADIO_CONTACTS;Newsletters_sent_current_customers;Newsletters_opened_current_customers;Newsletters_sent_new_customers;Newsletters_opened_new_customers;Search_engine_marketing_expenses;Search_engine_marketing_clicks;Search_engine_marketing_impressions;Recency_Impressions;Recency_clicks;Burst_Impressions;Burst_clicks;Burst_expenses;TELEVISION_PROGRAM_COOPERATION_WEEK;COMPETITOR_A_total;COMPETITOR_A_NEWSPAPER;COMPETITOR_A_MAGAZINE;COMPETITOR_A_TELEVISION;COMPETITOR_A_RADIO;COMPETITOR_A_BILLBOARD;COMPETITOR_A_MOVIE;COMPETITOR_A_INTERNET;COMPETITOR_B_total;COMPETITOR_B_NEWSPAPER;COMPETITOR_B_MAGAZINE;COMPETITOR_B_TELEVISION;COMPETITOR_B_RADIO;COMPETITOR_B_BILLBOARD;COMPETITOR_B_MOVIE;COMPETITOR_B_INTERNET;COMPETITOR_C_total;COMPETITOR_C_NEWSPAPER;COMPETITOR_C_MAGAZINE;COMPETITOR_C_TELEVISION;COMPETITOR_C_RADIO;COMPETITOR_C_BILLBOARD;COMPETITOR_C_MOVIE;COMPETITOR_C_INTERNET;COMPETITOR_D_total;COMPETITOR_D_NEWSPAPER;COMPETITOR_D_MAGAZINE;COMPETITOR_D_TELEVISION;COMPETITOR_D_RADIO;COMPETITOR_D_BILLBOARD;COMPETITOR_D_MOVIE;COMPETITOR_D_INTERNET
1;68041;0;1;0;0;0;0;0;0;0;0;0;0;0;14.275;18.6;0;0;0;0;0;0;0;5.2;0;0;0;0;0;3146.35;13931;3922965;11487272;8963;1029345;7358;12450.2563414499;0;66.69696;36.21092;0;30.48604;0;0;0;0;0;0;0;0;0;0;0;0;23.32686;23.32686;0;0;0;0;0;0;42.50017;42.50017;0;0;0;0;0;0
2;69599;0;1;0;0;0;0;0;0;0;0;0;0;0;15.05;9.3;0;0;0;0;0;0;0;4.6;0;0;0;0;0;2515.82;11175;3980043;11200736;14523;729365;4638;8021.291950614;0;31.33827;31.33827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8498;2.07206;0;2.77774;0;0;0;0;5.07735;5.07735;0;0;0;0;0;0
3;63334;0;1;0;0;0;0;0;0;0;0;0;0;0;15.825;13.6;0;0;0;0;0;0;0;5.9;0;39421;11996;0;0;2550;12306;4216991;16434119;9545;0;1;0;0;26.80942;26.80942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.51546;23.74089;0;11.77457;0;0;0;0;43.1794;37.1794;0;0;0;0;0;6
4;59999;0;1;0;0;0;0;0;0;0;0;0;0;0;16.6;6.2;0;0;0;0;0;0;0;19.5;0;0;0;0;0;2501.59;12991;3436069;8280832;10571;0;0;0;0;44.81159;33.06757;0;11.74402;0;0;0;0;0;0;0;0;0;0;0;0;53.31756;32.01103;0;21.30653;0;0;0;0;53.59704;53.59704;0;0;0;0;0;0
5;62713;0;0;1;0;0;0;0;0;0;0;0;0;0;16.6;8.2;3689;0;0;0;0;0;0;22.3;0;0;0;0;0;3178.62;16070;3531286;5500815;8900;0;0;0;0;109.24952;15.60527;0;72.66825;6.222;0;0;14.754;17.444;0;0;9.002;8.442;0;0;0;128.43205;0;0;54.09105;47.854;0;0;26.487;207.40078;6.93228;0;4.112;14.999;1.7325;3.982;175.643
6;69464;0;0;1;0;0;0;0;0;0;0;0;0;0;17.45;13;0;0;0;0;0;0;0;6.7;0;39465;12287;0;0;4681.48;21730;9445016;3773057;5541;2;1;0.0206689934;0;91.0196;39.66991;0;51.34969;0;0;0;0;0;0;0;0;0;0;0;0;87.60761;5.47964;0;82.12797;0;0;0;0;76.22194;72.78279;1.4179;0;0;2.02125;0;0
7;74794;0;0;1;0;0;0;0;0;0;0;0;0;0;18.3;0.4;5090.66;0;33883.5;0;0;0;0;11.3;0;0;0;0;0;4672.72;24310;10216990;3981493;9020;3031082;4884;21051.7951778854;0;94.19471;73.40693;0;20.78778;0;0;0;0;0;0;0;0;0;0;0;0;180.0695;65.0794;0;114.9901;0;0;0;0;133.67263;131.65138;0;0;0;2.02125;0;0
8;66498;0;0;1;0;0;0;0;0;0;0;0;0;0;19.15;0.4;5090.66;29725.84;6551.8;0;0;88586.39;0;248.2;0;0;0;0;0;3902.11;21291;8364047;4299678;4720;1788447;3843;11447.5929039832;0;55.79541;34.32882;0;21.46659;0;0;0;0;189.55178;0;0;189.55178;0;0;0;0;157.02803;50.57606;0;106.45197;0;0;0;0;98.79366;95.35451;1.4179;0;0;2.02125;0;0
9;61070;0;0;0;1;0;0;0;0;0;0;0;0;0;20;0.4;10333.16;0;9293.9;85307.35;0;62762.77;46193.76;200.8;150.31;0;0;0;0;3182.49;17713;5256570;937826;2435;643894;3415;9578.0120974008;0;80.34038;11.36408;0;68.9763;0;0;0;0;63.69355;0;0;60.78955;2.904;0;0;0;94.46818;43.50131;0;29.46987;21.497;0;0;0;74.34753;61.9156;9.18918;2.25;0;0.99275;0;0
10;62141;0;0;0;1;0;0;0;0;0;0;0;0;0;19.425;7.2;5090.66;0;23046.69;0;0;53476.25;0;226.2;174.64;0;0;0;0;3497.28;19500;4692936;2269897;3457;900498;4785;15731.6104568085;0;51.12728;24.53216;0;26.59512;0;0;0;0;0;0;0;0;0;0;0;0;17.30516;17.30516;0;0;0;0;0;0;60.9288;36.72604;0;24.11476;0;0.088;0;0
